"user_id","win_dates"
1924,"{'2014-05-21': {'trades': [9012, 9013, 9010]}}"
295,"{'2014-05-21': {'trades': [9084, 9085]}}"
296,"{'2014-05-21': {'trades': [9081]}}"
1929,"{'2014-05-21': {'trades': [9089, 9088, 9087]}}"
45,"{'2014-05-21': {'trades': [9049, 9094, 8993, 9064, 8992, 8998, 9016, 9095, 8999, 9048, 9004, 8989, 8990, 8987, 9096, 9006, 9000, 8988, 8991, 9002, 9001, 9097]}}"
176,"{'2014-05-21': {'trades': [9007, 9057], 'comments': [983]}}"
1928,"{'2014-05-21': {'trades': [9086]}}"
1875,"{'2014-05-21': {'trades': [9037]}}"
372,"{'2014-05-21': {'trades': [9098]}}"
59,"{'2014-05-21': {'trades': [9074, 9065, 9066, 9070, 9059, 9073], 'comments': [982, 984]}}"
796,"{'2014-05-21': {'trades': [9022, 9055, 9035, 9030, 9045, 9024, 9040, 9034, 9044, 9018, 9027, 9023, 9032, 9041, 9031]}}"
